y_hat,y_hat_sigma,y_true,aleatoric
0.9742055,0.0125917625,1.0,0.010236417
0.0023516063,0.0014804291,0.0,0.0024072486
0.11644737,0.021690466,0.0,0.10210675
0.79496455,0.056104217,0.0,0.05089618
0.9548672,0.018783819,1.0,0.025511442
0.18833752,0.07183309,1.0,0.04870373
0.9569655,0.016742224,1.0,0.02234165
0.8816088,0.044514976,1.0,0.032049984
0.5204499,0.09592188,1.0,0.13482316
0.0014176312,0.0009919453,0.0,0.0017265772
0.106724136,0.043279532,0.0,0.046954002
0.40389007,0.08150122,1.0,0.21943377
0.9151283,0.039582,1.0,0.060123272
0.65842867,0.08472104,0.0,0.09709856
0.3658829,0.08254354,0.0,0.07043353
0.00069251796,0.000661753,0.0,0.0006769083
0.00053364603,0.00057686307,0.0,0.0005649088
0.98250437,0.009485692,1.0,0.0162137
0.82592344,0.051440887,1.0,0.036364276
0.00040705747,0.000422285,0.0,0.0004464225
0.7660314,0.07397327,0.0,0.05143666
0.9778164,0.016107876,1.0,0.016801491
0.00053594017,0.0004274476,0.0,0.0007226837
0.97975564,0.010584229,1.0,0.006209604
0.08627462,0.032767158,0.0,0.0434462
0.9316003,0.027444009,1.0,0.023900736
0.97710985,0.011647047,1.0,0.013976353
0.045820765,0.02140814,0.0,0.024807302
0.84988564,0.04359553,1.0,0.052621618
0.92521983,0.033063848,1.0,0.055554982
0.044267092,0.011660826,0.0,0.040030908
0.94966114,0.022058992,0.0,0.016269663
0.9601073,0.017764347,1.0,0.02617781
0.0002158186,0.00025348327,0.0,0.00024215212
0.75999844,0.071720846,0.0,0.068662606
0.41867098,0.08038358,0.0,0.134306
0.20914282,0.043446485,1.0,0.07169074
0.7686847,0.08401595,1.0,0.104494505
0.00021509736,0.00025737687,0.0,0.0002480236
0.00042510856,0.00037646462,0.0,0.00047666722
0.22157995,0.048062198,0.0,0.09967465
0.045734912,0.020910757,0.0,0.018852191
0.44839576,0.09352142,0.0,0.08468479
0.98926413,0.005289985,1.0,0.00671897
0.7718281,0.0666446,1.0,0.06405702
0.00042294036,0.00045312862,0.0,0.0004354807
0.078133374,0.016795002,0.0,0.06445708
0.0009838067,0.0009211939,0.0,0.00091248646
0.0657312,0.026654111,0.0,0.031874657
0.3496771,0.073902234,0.0,0.07824168
0.14927569,0.03717051,0.0,0.065474905
0.79384863,0.069722414,0.0,0.114854075
