y_hat,y_hat_sigma,y_true
0.9729764,0.013255199,1.0
0.0036012584,0.0019412513,0.0
0.11819753,0.022425728,0.0
0.7491076,0.059632502,0.0
0.95001584,0.022212429,1.0
0.24148758,0.098954886,1.0
0.96217656,0.0153923305,1.0
0.9037747,0.038543213,1.0
0.5515482,0.090185285,1.0
0.0013753244,0.00103122,0.0
0.1742149,0.061379395,0.0
0.47278568,0.082428806,1.0
0.9565794,0.020264046,1.0
0.65013015,0.09069886,0.0
0.40507933,0.0827227,0.0
0.0009307918,0.0008701991,0.0
0.00044899798,0.00051876163,0.0
0.97982335,0.011474117,1.0
0.8459754,0.039151642,1.0
0.0005364315,0.00053428276,0.0
0.7746854,0.09509371,0.0
0.9835203,0.011260065,1.0
0.00039463997,0.00034937757,0.0
0.98320764,0.008198293,1.0
0.09125761,0.035308205,0.0
0.95253867,0.021612799,1.0
0.95916075,0.018896462,1.0
0.07277695,0.030323002,0.0
0.865816,0.037375446,1.0
0.93880105,0.028814647,1.0
0.03690616,0.010975361,0.0
0.9396607,0.025294874,0.0
0.95029134,0.02138427,1.0
0.0002763009,0.00031048272,0.0
0.8644724,0.04932879,0.0
0.5000164,0.08307615,0.0
0.17369647,0.043238558,1.0
0.65893894,0.12100192,1.0
0.00023806693,0.0002917469,0.0
0.00037898685,0.00036562482,0.0
0.22617087,0.05314826,0.0
0.074950196,0.030390644,0.0
0.60269874,0.10591407,0.0
0.9833744,0.0073070293,1.0
0.7957211,0.05561474,1.0
0.00037896508,0.00043440398,0.0
0.08233723,0.017880289,0.0
0.0010370889,0.0009916165,0.0
0.09179469,0.034852285,0.0
0.40553862,0.089363076,0.0
0.14028934,0.038416985,0.0
0.881733,0.048995964,0.0
0.91998494,0.03874722,1.0
0.16920838,0.044616416,0.0
0.008891198,0.0043759965,0.0
0.96802205,0.014285847,1.0
0.12560871,0.028347127,0.0
0.2586478,0.081154466,1.0
0.022348834,0.0076476666,0.0
0.0066435332,0.004387341,0.0
0.75914735,0.069318645,1.0
0.05527568,0.013334388,0.0
0.089984976,0.035607126,0.0
0.5419686,0.13302557,0.0
0.8565584,0.049610063,1.0
0.95949495,0.018819531,1.0
0.09352027,0.018692844,0.0
0.9841452,0.0076339305,1.0
0.00048038186,0.00045987306,0.0
0.00064466946,0.00059687847,0.0
0.1655469,0.056449812,0.0
0.0035312104,0.0028603633,0.0
0.19782026,0.07701379,0.0
0.9950941,0.0033240418,1.0
0.6787218,0.08288567,1.0
0.00028486896,0.00027465454,0.0
0.00040618854,0.0003546451,0.0
0.0002776017,0.00025870945,0.0
0.0013387149,0.0011833903,0.0
0.15882736,0.03971749,0.0
0.37818396,0.08020533,1.0
0.80844957,0.06571075,1.0
0.99580175,0.0021335257,1.0
0.95543665,0.02018583,1.0
0.34236655,0.08588279,0.0
0.08278772,0.017952677,0.0
0.05613462,0.022781216,0.0
0.83231467,0.08126212,1.0
0.0027022164,0.0017855517,0.0
0.00023084965,0.00022223276,0.0
0.0002860939,0.00029512058,0.0
0.09270581,0.01904464,0.0
0.12985912,0.034649834,0.0
0.0269005,0.012630195,0.0
0.00027356233,0.00027062808,0.0
0.936892,0.031626623,1.0
0.98340154,0.008130226,1.0
0.81768596,0.062093813,1.0
0.97468615,0.014096607,1.0
0.79503953,0.08037895,1.0
0.9742519,0.017588766,1.0
0.0017349739,0.0011700406,0.0
0.11827741,0.022325233,0.0
0.058485363,0.025746323,0.0
0.9727501,0.012300914,1.0
0.00011704254,0.00013363991,0.0
0.6760569,0.07750286,1.0
0.9559484,0.021902148,1.0
0.9766639,0.011095471,1.0
0.005368147,0.003055747,0.0
0.97506523,0.011779199,1.0
0.99839854,0.0015526827,1.0
0.13696842,0.034773573,0.0
0.68415505,0.08244448,1.0
0.70649296,0.07307766,1.0
0.00018902354,0.00018425188,0.0
0.10288453,0.020083774,1.0
0.20260842,0.04885283,0.0
0.966764,0.015954833,1.0
0.42832202,0.09706342,1.0
0.12622204,0.024808183,0.0
0.00020834498,0.0002415742,0.0
0.9767568,0.009796949,1.0
0.97692704,0.012746472,1.0
0.17228901,0.04203912,0.0
0.9475453,0.020771597,1.0
